name_clean,lat,lon
атб,50.4567589,30.3650581
атб,50.5241945,30.61016
лоток,50.4377,30.4557
атб,50.424802,30.4428784
атб,50.5241806,30.6101897
еко маркет,50.453626,30.4238244
атб,50.4089026,30.6207167
еко маркет,50.4718021,30.5072364
фора,50.4201221,30.4785289
новус,50.4683975,30.6018122
атб,50.447602,30.4352027
фора,50.4298725,30.4608368
атб,50.4166904,30.3869456
атб,50.4095314,30.3916229
фора,50.5119884,30.4394384
атб,50.5192895,30.6086999
фора,50.5125643,30.6011953
атб,50.422151,30.3796051
фора,50.4649559,30.3518613
еко маркет,50.4698944,30.4460124
атб,50.4837449,30.6034509
атб,50.4180351,30.3947893
атб,50.5336895,30.6033792
еко маркет,50.4919494,30.6011932
еко маркет,50.500116,30.6106836
атб,50.4111195,30.6131493
лоток,50.3764274,30.540105
фора,50.4450358,30.6233288
атб,50.5056467,30.4582578
фора,50.4887524,30.6072457
атб,50.4605749,30.6224733
атб,50.4054281,30.6143381
фора,50.4798272,30.6058119
varus,50.4592322,30.3579284
лоток,50.5178,30.626
велика кишеня,50.4424902,30.6242805
атб,50.4599415,30.3727514
фора,50.4778193,30.5960064
фора,50.4374259,30.6307181
новус,50.5139079,30.6097974
фора,50.5136248,30.6131355
лоток,50.415268,30.404245
атб,50.5167419,30.5984039
атб,50.4016932,30.5285141
лоток,50.3935013,30.618527
новус,50.4261012,30.5151218
атб,50.3931399,30.4968127
новус,50.3825765,30.4579623
атб,50.5119033,30.4124875
атб,50.44345,30.6253139
фора,50.4831787,30.4768833
новус,50.4936015,30.522115
атб,50.4630735,30.6177242
фора,50.5306586,30.6110973
лоток,50.4429074,30.4300589
фора,50.4317671,30.6035871
фора,50.5132895,30.4995233
велмарт,50.500234,30.5000948
varus,50.5010558,30.4961961
атб,50.365866,30.4624983
лоток,50.3989,30.6516
новус,50.4711066,30.4748536
атб,50.4981383,30.6037156
новус,50.4214554,30.5299019
лоток,50.425983,30.503386
лоток,50.42128,30.45567
атб,50.4225882,30.4258733
атб,50.4161324,30.459619
varus,50.5227485,30.4987093
атб,50.4575463,30.4772019
лоток,50.497937,30.595912
лоток,50.4791074,30.6007109
лоток,50.4269465,30.6499803
лоток,50.4163,30.6292
лоток,50.424096,30.4731194
лоток,50.454,30.3537
лоток,50.4053656,30.6454263
лоток,50.3851,30.4639
лоток,50.4251244,30.3811661
лоток,50.4013,30.6397
лоток,50.3873999,30.4608098
лоток,50.4554204,30.352227
лоток,50.520106,30.4524933
лоток,50.3858859,30.464624
лоток,50.4983416,30.5158601
лоток,50.4037,30.5131
лоток,50.3956909,30.6009312
лоток,50.4798705,30.5915044
лоток,50.4173485,30.6811475
лоток,50.409942,30.506934
лоток,50.3925873,30.4710619
атб,50.4541874,30.5897449
лоток,50.4987,30.4581
лоток,50.4011814,30.5317123
лоток,50.421929,30.705815
varus,50.4234211,30.4466183
ашан,50.4546924,30.6384957
атб,50.5053601,30.490735
новус,50.4932769,30.5602622
ашан,50.4188288,30.6309967
атб,50.4210302,30.4784562
лоток,50.3901402,30.4821101
лоток,50.4932947,30.5908459
атб,50.4349565,30.6475424
фора,50.4136789,30.5442777
фора,50.4238129,30.5980396
атб,50.4218073,30.4847894
атб,50.4558517,30.3866944
varus,50.4003698,30.6516892
фора,50.4775178,30.4498067
атб,50.4315372,30.3951699
атб,50.4339885,30.3718459
атб,50.378739,30.4486862
фора,50.4261165,30.5402471
ашан,50.4156134,30.5265775
атб,50.3973231,30.6369418
новус,50.456503,30.363244
атб,50.500626,30.5790504
атб,50.5251077,30.4998173
атб,50.4173423,30.4644704
атб,50.4293249,30.6657359
varus,50.40356,30.6503749
фора,50.5066887,30.4136773
ашан,50.4912937,30.4899162
атб,50.482842,30.5898194
фора,50.3814703,30.5324659
новус,50.4555371,30.5068714
новус,50.4526948,30.5024048
фора,50.3606093,30.4699814
фора,50.4561505,30.6148629
атб,50.4538211,30.6200333
атб,50.4693227,30.5990663
фора,50.3948383,30.6060637
ашан,50.3897608,30.4630759
новус,50.5034098,30.4192901
фора,50.4360309,30.645625
varus,50.5089832,30.4492092
новус,50.4406952,30.5498518
атб,50.5120291,30.4318166
атб,50.4884242,30.4988136
атб,50.5009235,30.61003
фора,50.4688583,30.3367157
фора,50.4527117,30.4845954
фора,50.435207,30.367526
фора,50.3573529,30.47842
фора,50.426272,30.4552136
фора,50.462651,30.374602
фора,50.430297,30.487293
фора,50.39272,30.601533
фора,50.4818758,30.6281631
фора,50.4251191,30.6649416
фора,50.447184,30.4266075
фора,50.393346,30.473292
фора,50.39034,30.625877
фора,50.4569936,30.4351619
фора,50.415734,30.395938
фора,50.463839,30.592333
фора,50.391087,30.4604
фора,50.403594,30.512945
фора,50.438214,30.5961208
фора,50.471559,30.403108
фора,50.4458103,30.6037361
фора,50.401426,30.651175
атб,50.4911753,30.6104763
фора,50.515642,30.5038304
атб,50.4353556,30.5299865
атб,50.382588,30.4798414
лоток,50.3962695,30.5985966
фора,50.5245482,30.4990412
велика кишеня,50.4031207,30.6542512
еко маркет,50.5161431,30.4977656
фора,50.531245,30.608083
атб,50.5220563,30.4522337
фора,50.4695357,30.4435217
varus,50.5166739,30.6183439
новус,50.4328155,30.4480293
фора,50.40197,30.558919
фора,50.4070146,30.4903917
атб,50.4317007,30.6097116
фора,50.390405,30.479895
атб,50.4253947,30.3851773
фора,50.406361,30.656379
атб,50.4137909,30.6515453
фора,50.494879,30.581808
фора,50.4764602,30.590179
новус,50.447615,30.4326709
фора,50.426336,30.460642
varus,50.4028163,30.5113426
атб,50.4105434,30.6694872
фора,50.458614,30.371437
фора,50.39298,30.557834
фора,50.493218,30.5105797
атб,50.4289206,30.4581831
фора,50.4538766,30.4849887
новус,50.4530913,30.4867843
фора,50.4748273,30.3964341
фора,50.4195137,30.382213
еко маркет,50.4726099,30.3319712
атб,50.5264355,30.6024101
атб,50.4422988,30.5204341
еко маркет,50.5155175,30.516124
фора,50.4934676,30.6046104
фора,50.4827972,30.5942542
фора,50.4253183,30.4723947
новус,50.3984671,30.6147402
фора,50.5034815,30.4106149
фора,50.4785222,30.6313504
атб,50.4117823,30.5093462
новус,50.4667534,30.4610869
лоток,50.4347096,30.3975344
varus,50.4055841,30.6379429
атб,50.5073966,30.5093465
атб,50.5137276,30.4932615
новус,50.4971864,30.4654662
новус,50.4618375,30.3555204
фора,50.4294485,30.393141
фора,50.5118537,30.431555
фора,50.3928306,30.6525854
велмарт,50.5226149,30.4931492
varus,50.4198973,30.5267787
атб,50.4319668,30.5977445
еко маркет,50.4907457,30.50789115
новус,50.39630685154728,30.632967032472237
атб,50.43166544462431,30.60957316825955
атб,50.40664202744439,30.650387587766215
varus,50.393778013648834,30.48549946802069
новус,50.4945634775761,30.42597775291683
фора,50.5138666096056,30.428548456843284
атб,50.44838059867701,30.464603509419337
атб,50.402925499999995,30.629055199999996
велика кишеня,50.40462096928249,30.54889719309991
атб,50.41274598761871,30.411248849999883
атб,50.528738909453665,30.60529372958338
велика кишеня,50.364387716445854,30.44779293611562
фора,50.463523316500584,30.34215474555502
новус,50.422466595635825,30.464054725899818
еко маркет,50.44026172642892,30.44098916946565
фора,50.394236629858526,30.64386889839876
велмарт,50.46073449332306,30.346979344676836
фора,50.5001297936356,30.440064817218033
атб,50.50807082596953,30.41989384185023
атб,50.462683684528436,30.364144428548837
новус,50.41466365540299,30.64560471422128
атб,50.43025110559508,30.655770215579796
лоток,50.46631296789183,30.416459057495373
новус,50.45525505962433,30.38825887012834
ашан,50.41775539732142,30.39255586688522
еко маркет,50.431400066734525,30.372682641715784
атб,50.412805186811966,30.62844456274437
атб,50.522176760683585,30.508805549866995
велмарт,50.3782322823038,30.449504694767768
новус,50.43368255781147,30.48300814545279
новус,50.453150546923624,30.59392669856274
фора,50.487870801396085,30.629797706203785
атб,50.482171211305825,30.633598800843565
атб,50.45339099374694,30.385136969983545
фора,50.47245434131667,30.670846001117802
новус,50.40459628247847,30.615253616716643
атб,50.45786591893628,30.381100690754593
атб,50.5128057191714,30.5019219906952
ашан,50.4970166290777,30.361127445223403
новус,50.4222344,30.455435750000003
varus,50.4234453277418,30.446606761929814
еко маркет,50.442927229567765,30.49182449231649
атб,50.51620880347518,30.485725030890038
атб,50.471720386176756,30.50658066484728
атб,50.37716869432586,30.536885693505877
фора,50.37264902433959,30.542788659584392
фора,50.46224017993577,30.364386372286358
велмарт,50.39542907508359,30.648003382304122
еко маркет,50.44257641379817,30.48796259822765
фора,50.46069959937259,30.584228442973846
новус,50.39362769869562,30.611611220174417
атб,50.36213392351636,30.5510565993065
новус,50.43804358731294,30.621723526866166
новус,50.49753499463543,30.366734354391884
атб,50.47836274651138,30.619720744108996
еко маркет,50.530025211301094,30.60100382618188
новус,50.45866912517804,30.632304372332268
новус,50.41413060090197,30.538752303480404
еко маркет,50.43763525335516,30.446162267173353
фора,50.442008966469366,30.423918700274918
фора,50.456236859587634,30.487425626979796
новус,50.409547449888905,30.62015597187327
новус,50.41076250286466,30.62579855992022
атб,50.48880544964629,30.49325187990848
велмарт,50.43039945,30.383578749999998
фора,50.439383519189136,30.37867658898606
новус,50.41079416632163,30.60554378867498
новус,50.407093184245085,30.61058187610032
атб,50.477728000000006,30.343453500000003
фора,50.56719296615225,30.465024122411172
велмарт,50.42126191301326,30.593760770626886
атб,50.50529300352625,30.43988240617584
новус,50.389577386918205,30.625765920837853
новус,50.4473438250423,30.60261336154527
новус,50.49556628862526,30.425743767063672
новус,50.43717130007988,30.48615845175558
новус,50.40283249125757,30.62525447369088
еко маркет,50.510735300874096,30.491632846332493
еко маркет,50.51477099369532,30.49247729779542
атб,50.52021374761758,30.499705409985072
новус,50.46668455017358,30.655002071722667
атб,50.5162067749598,30.60662065992185
атб,50.39141952140837,30.604234153777497
атб,50.38906808942799,30.46193203481668
атб,50.47414933443061,30.63623707741576
фора,50.337147470882265,30.554292838104335
атб,50.38384347308199,30.441650654887958
атб,50.3858731209045,30.49059749013584
атб,50.385511966081665,30.693926072246686
фора,50.4805587208674,30.41430690950948
фора,50.429369991485046,30.45134053242708
фора,50.38486376138609,30.692742965630202
новус,50.50285126420079,30.427575083416993
еко маркет,50.42910737664883,30.647279112086064
новус,50.437646613759966,30.370118751124252
новус,50.41279601728891,30.462598634720905
атб,50.39196120560333,30.64421133302415
новус,50.349669850000005,30.477745000000002
новус,50.54196454596931,30.486875486520006
атб,50.461384658221945,30.59098991761882
фора,50.41532272467737,30.465457644650307
новус,50.494541039355134,30.587887839277766
атб,50.44133914522926,30.64189111525353
атб,50.437217804039335,30.383564350656048
новус,50.487871466000705,30.61260494879105
атб,50.39021100000001,30.631004149999995
атб,50.33717874141877,30.553576200537417
фора,50.39321415493679,30.557602214295464
фора,50.39553734563801,30.425744316096846
varus,50.39819027507763,30.618322456505165
ашан,50.41195180751548,30.521843285061113
новус,50.45098693798581,30.522264665264917
новус,50.44969724034082,30.525586652078246
новус,50.44246439326292,30.521144488830213
